taxon,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,mean_abundance
d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Megamonas,7.472449134186638,10.245807838567899,5.340264448402577,2.773358704381261,2.132184685784061,2.132184685784061,G50,0.00035733039694337964
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Xiphinematobacteraceae; g__Candidatus_Xiphinematobacter,11.367318593197473,0.0,9.13404761645136,11.367318593197473,2.2332709767461125,2.2332709767461125,G50,0.0008004191019803194
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__Fastidiosipila,8.796897330004024,0.0,6.552928966262678,8.796897330004024,2.2439683637413452,2.2439683637413452,G50,0.00013416406420063449
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,11.234567970024722,0.0,8.920502144621098,11.234567970024722,2.314065825403624,2.314065825403624,G50,0.0007230333633615321
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus,2.74224402066532,0.14157074584485804,0.42585559584348665,2.600673274820462,2.3163884248218336,2.3163884248218336,G50,0.0010666744806558468
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter,9.174620627806787,0.0,6.790906732996283,9.174620627806787,2.383713894810504,2.383713894810504,G50,0.0001716520334466182
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7a,1.324570131665968,-1.079702680787809,-1.3678193116185073,2.404272812453777,2.6923894432844753,2.404272812453777,G25,0.0014722382632651628
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum,12.574019731592047,10.110269878101786,5.42198198719824,2.4637498534902615,7.152037744393807,2.4637498534902615,G25,0.0018106958413395002
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Candidatus_Soleaferrea,9.811407477220857,0.0,7.339962614956921,9.811407477220857,2.4714448622639367,2.4714448622639367,G50,0.0002646332658436676
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Kocuria,2.6517546304904003,0.17922151912764062,-0.004453602210622535,2.4725331113627598,2.656208232701023,2.4725331113627598,G25,0.0028505701662987115
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Knoellia,-0.08940712313415909,-9.895145360113412,-2.672418524867378,9.805738236979254,2.583011401733219,2.583011401733219,G50,0.0004983951636271545
d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Sporomusaceae,10.879640089573853,0.0,8.279098423906554,10.879640089573853,2.600541665667299,2.600541665667299,G50,0.0005481784828499593
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Shinella,-2.605485528999817,-10.658199948379687,0.0031528309708185698,8.052714419379871,2.6086383599706355,2.6086383599706355,G50,0.0008745091246915281
d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter,13.852250226969344,10.4993727775556,11.22293646304233,3.3528774494137448,2.629313763927014,2.629313763927014,G50,0.004655974134228224
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae,9.844130029609037,0.0,7.164245885111377,9.844130029609037,2.6798841444976595,2.6798841444976595,G50,0.00026514184819868776
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales,11.612941417699993,0.0,8.918976314667797,11.612941417699993,2.6939651030321965,2.6939651030321965,G50,0.0009035490616672195
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptococcales; f__Peptococcaceae; g__Peptococcus,5.761101493140488,-6.045707587953116,3.0453125699923445,11.806809081093604,2.715788923148143,2.715788923148143,G50,0.001047761848050285
d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group,4.38724765012468,1.6507422165949581,0.6394306051145447,2.7365054335297216,3.747817045010135,2.7365054335297216,G25,0.0016496747896174912
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium,0.8125303634243969,-2.5370793632991915,-2.005133665262884,3.3496097267235885,2.817664028687281,2.817664028687281,G50,0.0022767484972967887
