feature,kw_statistic,kw_pvalue,mean_NC,mean_PC,mean_G25,mean_G50,kw_qvalue,verified_name,id_system,verification_status,source_type,source_note
GLYCOLYSIS,7.25421052631579,0.0642217990970591,0.012339388042651,0.00917191547215901,0.013474659473956,0.0119790703013437,0.275734860853265,,,,,
PWY-7400,7.25421052631579,0.0642217990970591,0.00384171218924557,0.0046653517179904,0.00246763110126117,0.00344164615021085,0.275734860853265,,,,,
ILEUSYN-PWY,7.22736842105263,0.0649932431611532,0.00339859089636858,0.00644236146218122,0.00318406424522887,0.00362935184938467,0.275734860853265,,,,,
PWY-7111,7.22736842105263,0.0649932431611532,0.00363466317999515,0.00720687279287228,0.00336656935487381,0.0038555619362954,0.275734860853265,,,,,
VALSYN-PWY,7.22736842105263,0.0649932431611532,0.00339859089636858,0.00644236146218122,0.00318406424522887,0.00362935184938467,0.275734860853265,,,,,
ANAEROFRUCAT-PWY,7.21473684210525,0.0653593744244777,0.0128247379277226,0.00937486437600425,0.0141764243709499,0.0125423712251211,0.275734860853265,,,,,
PWY-5345,7.19105263157894,0.0660512620731514,0.000655976770528994,0.00241879942607389,0.00103026381566848,0.00109419708518885,0.27578104267656,,,,,
PWY-5973,7.16578947368421,0.0667970921058098,0.0121493357428634,0.00978376213375967,0.0156818834526262,0.0130720005581452,0.276049207171969,,,,,
PWY-3001,7.12263157894738,0.0680901195323819,0.00361830839288741,0.00539258855999433,0.0026430677874687,0.00349009199916833,0.276087452801872,,,,,
PWY0-1298,7.11999999999999,0.0681697414325609,0.00230833663626333,0.00393089074565668,0.00170872970082057,0.00229494488210002,0.276087452801872,,,,,
SER-GLYSYN-PWY,7.09315789473685,0.0689870483977635,0.00333508278996596,0.00431940617300045,0.00193443827042592,0.00273976053179416,0.2766312336742,,,,,
SO4ASSIM-PWY,6.98842105263158,0.0722677500686461,0.000464655210727024,0.00198961074088181,0.000670933710939277,0.000683736477277678,0.283734224239027,,,,,
